Year, Canada, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland, 
2001,$106.85,$113.71,$92.25,$79.07,$89.28,$111.89,$114.16,$78.11,$88.44, 
2002,$107.48,$114.58,$90.67,$81.14,$90.15,$112.58,$117.64,$81.02,$92.73, 
2003,$107.48,$111.99,$85.78,$85.69,$95.74,$109.99,$120.48,$84.20,$93.80, 
2004,$108.37,$111.21,$87.42,$87.40,$97.09,$111.31,$120.20,$88.32,$97.04, 
2005,$109.41,$106.31,$89.28,$90.72,$100.26,$114.65,$122.10,$89.23,$102.19, 
2006,$114.19,$108.47,$93.29,$94.65,$102.80,$119.02,$123.34,$94.86,$102.46, 
2007,$118.57,$118.38,$96.11,$97.52,$106.39,$120.66,$125.18,$98.43,$105.02, 
2008,$124.07,$126.14,$103.25,$104.55,$109.47,$123.27,$129.27,$106.64,$108.43, 
2009,$121.79,$123.98,$105.82,$106.31,$109.04,$118.63,$125.75,$114.92,$111.11, 
2010,$126.03,$147.16,$108.88,$104.67,$109.47,$117.14,$125.17,$120.07,$115.32, 
2011,$120.88,$120.92,$111.08,$105.80,$112.41,$117.96,$128.45,$122.53,$117.39, 
2012,$123.69,$123.74,$113.64,$105.73,$111.14,$120.16,$129.31,$125.07,$124.35, 
2013,$125.95,$123.82,$114.64,$105.12,$112.74,$121.59,$130.82,$130.72,$127.69, 
2014,$129.35,$128.84,$117.44,$105.90,$113.36,$124.38,$132.61,$132.49,$132.45, 
2015,$133.44,$134.67,$118.18,$107.17,$117.27,$129.43,$138.83,$132.37,$135.37, 
2016,$136.96,$146.58,$118.59,$108.46,$119.46,$135.06,$143.41,$127.54,$133.07, 
2017,$140.05,$151.26,$120.86,$112.04,$122.10,$140.43,$148.37,$121.10,$131.66, 
2018,$146.68,$165.46,$124.10,$116.40,$129.25,$148.59,$152.56,$117.82,$131.55, 
2019,$149.24,$171.00,$124.80,$118.40,$126.78,$152.17,$156.73,$117.38,$121.07, 
2020,$134.68,$150.98,$117.71,$111.78,$117.66,$135.87,$146.78,$110.85,$114.35, 
2021,$111.90,$126.14,$109.97,$94.80,$94.80,$104.73,$128.23,$100.57,$91.27, 
2022,$143.18,$172.96,$122.53,$116.10,$122.54,$137.59,$157.78,$115.80,$109.26, 
