"","Year","Month","GEO","Value"
"1",2001," Jan","Alberta.Resorts"," $138.21"
"2",2001," Feb","Alberta.Resorts"," $145.09"
"3",2001," Mar","Alberta.Resorts"," $141.86"
"4",2001," Apr","Alberta.Resorts"," $127.43"
"5",2001," May","Alberta.Resorts"," $169.2"
"6",2001," Jun","Alberta.Resorts"," $251.53"
"7",2001," Jul","Alberta.Resorts"," $281.69"
"8",2001," Aug","Alberta.Resorts"," $281.92"
"9",2001," Sep","Alberta.Resorts"," $235.24"
"10",2001," Oct","Alberta.Resorts"," $152.26"
"11",2001," Nov","Alberta.Resorts"," $114.15"
"12",2001," Dec","Alberta.Resorts"," $160.17"
"13",2001," Jan","Calgary"," $102.35"
"14",2001," Feb","Calgary"," $99.56"
"15",2001," Mar","Calgary"," $101.72"
"16",2001," Apr","Calgary"," $103.33"
"17",2001," May","Calgary"," $106.28"
"18",2001," Jun","Calgary"," $110.59"
"19",2001," Jul","Calgary"," $123.64"
"20",2001," Aug","Calgary"," $104.36"
"21",2001," Sep","Calgary"," $107.23"
"22",2001," Oct","Calgary"," $103.31"
"23",2001," Nov","Calgary"," $102.39"
"24",2001," Dec","Calgary"," $95.86"
"25",2001," Jan","Central.Ontario"," $109.48"
"26",2001," Feb","Central.Ontario"," $110.85"
"27",2001," Mar","Central.Ontario"," $102.46"
"28",2001," Apr","Central.Ontario"," $87"
"29",2001," May","Central.Ontario"," $101.61"
"30",2001," Jun","Central.Ontario"," $122.08"
"31",2001," Jul","Central.Ontario"," $134.86"
"32",2001," Aug","Central.Ontario"," $139.63"
"33",2001," Sep","Central.Ontario"," $123.01"
"34",2001," Oct","Central.Ontario"," $108.63"
"35",2001," Nov","Central.Ontario"," $90.89"
"36",2001," Dec","Central.Ontario"," $116.29"
"37",2001," Jan","Downtown..Montreal"," $126.75"
"38",2001," Feb","Downtown..Montreal"," $124.36"
"39",2001," Mar","Downtown..Montreal"," $122.02"
"40",2001," Apr","Downtown..Montreal"," $126.47"
"41",2001," May","Downtown..Montreal"," $144.57"
"42",2001," Jun","Downtown..Montreal"," $181.08"
"43",2001," Jul","Downtown..Montreal"," $152.65"
"44",2001," Aug","Downtown..Montreal"," $149.59"
"45",2001," Sep","Downtown..Montreal"," $146.88"
"46",2001," Oct","Downtown..Montreal"," $143.18"
"47",2001," Nov","Downtown..Montreal"," $131.95"
"48",2001," Dec","Downtown..Montreal"," $125.63"
"49",2001," Jan","Downtown.Ottawa"," $128.41"
"50",2001," Feb","Downtown.Ottawa"," $140.24"
"51",2001," Mar","Downtown.Ottawa"," $130.81"
"52",2001," Apr","Downtown.Ottawa"," $133"
"53",2001," May","Downtown.Ottawa"," $144.43"
"54",2001," Jun","Downtown.Ottawa"," $141.35"
"55",2001," Jul","Downtown.Ottawa"," $130.86"
"56",2001," Aug","Downtown.Ottawa"," $129.53"
"57",2001," Sep","Downtown.Ottawa"," $137.06"
"58",2001," Oct","Downtown.Ottawa"," $138.17"
"59",2001," Nov","Downtown.Ottawa"," $132.37"
"60",2001," Dec","Downtown.Ottawa"," $121.35"
"61",2001," Jan","Downtown.Toronto"," $140.39"
"62",2001," Feb","Downtown.Toronto"," $141.75"
"63",2001," Mar","Downtown.Toronto"," $141.62"
"64",2001," Apr","Downtown.Toronto"," $158.31"
"65",2001," May","Downtown.Toronto"," $173.69"
"66",2001," Jun","Downtown.Toronto"," $181.94"
"67",2001," Jul","Downtown.Toronto"," $168.26"
"68",2001," Aug","Downtown.Toronto"," $168.58"
"69",2001," Sep","Downtown.Toronto"," $168.18"
"70",2001," Oct","Downtown.Toronto"," $170.94"
"71",2001," Nov","Downtown.Toronto"," $143.97"
"72",2001," Dec","Downtown.Toronto"," $136.89"
"73",2001," Jan","Downtown.Vancouver"," $116.05"
"74",2001," Feb","Downtown.Vancouver"," $117.78"
"75",2001," Mar","Downtown.Vancouver"," $126.47"
"76",2001," Apr","Downtown.Vancouver"," $122.39"
"77",2001," May","Downtown.Vancouver"," $153.33"
"78",2001," Jun","Downtown.Vancouver"," $171.6"
"79",2001," Jul","Downtown.Vancouver"," $181.99"
"80",2001," Aug","Downtown.Vancouver"," $178.35"
"81",2001," Sep","Downtown.Vancouver"," $158.99"
"82",2001," Oct","Downtown.Vancouver"," $131.27"
"83",2001," Nov","Downtown.Vancouver"," $115.27"
"84",2001," Dec","Downtown.Vancouver"," $110.51"
"85",2001," Jan","Eastern.Ontario"," $77.69"
"86",2001," Feb","Eastern.Ontario"," $79.42"
"87",2001," Mar","Eastern.Ontario"," $81.94"
"88",2001," Apr","Eastern.Ontario"," $79.61"
"89",2001," May","Eastern.Ontario"," $89.35"
"90",2001," Jun","Eastern.Ontario"," $95.38"
"91",2001," Jul","Eastern.Ontario"," $101.31"
"92",2001," Aug","Eastern.Ontario"," $103.94"
"93",2001," Sep","Eastern.Ontario"," $93.7"
"94",2001," Oct","Eastern.Ontario"," $84.65"
"95",2001," Nov","Eastern.Ontario"," $83"
"96",2001," Dec","Eastern.Ontario"," $79.51"
"97",2001," Jan","Edmonton"," $87.82"
"98",2001," Feb","Edmonton"," $88.53"
"99",2001," Mar","Edmonton"," $88.35"
"100",2001," Apr","Edmonton"," $89.28"
