CMA,Province,Country,Attribute,Selection
Canada,Canada,Canada,Country,Canada
Abbotsford-Mission, British Columbia,Canada,Country,Canada
Barrie, Ontario,Canada,Country,Canada
Belleville, Ontario,Canada,Country,Canada
Brantford, Ontario,Canada,Country,Canada
Calgary, Alberta,Canada,Country,Canada
Edmonton, Alberta,Canada,Country,Canada
Greater Sudbury, Ontario,Canada,Country,Canada
Guelph, Ontario,Canada,Country,Canada
Halifax, Nova Scotia,Canada,Country,Canada
Hamilton, Ontario,Canada,Country,Canada
Kelowna, British Columbia,Canada,Country,Canada
Kingston, Ontario,Canada,Country,Canada
Kitchener-Cambridge-Waterloo, Ontario,Canada,Country,Canada
Lethbridge, Alberta,Canada,Country,Canada
London, Ontario,Canada,Country,Canada
Moncton, New Brunswick,Canada,Country,Canada
Montreal, Quebec,Canada,Country,Canada
Oshawa, Ontario,Canada,Country,Canada
Ottawa, Ontario,Canada,Country,Canada
Ottawa-Gatineau, Ontario/Quebec,Canada,Country,Canada
Gatineau, Quebec,Canada,Country,Canada
Peterborough, Ontario,Canada,Country,Canada
Quebec, Quebec,Canada,Country,Canada
Regina, Saskatchewan,Canada,Country,Canada
Saguenay, Quebec,Canada,Country,Canada
Saint John, New Brunswick,Canada,Country,Canada
Saskatoon, Saskatchewan,Canada,Country,Canada
Sherbrooke, Quebec,Canada,Country,Canada
St. Catharines-Niagara, Ontario,Canada,Country,Canada
St. John's, Newfoundland and Labrador,Canada,Country,Canada
Thunder Bay, Ontario,Canada,Country,Canada
Toronto, Ontario,Canada,Country,Canada
Trois-Rivieres, Quebec,Canada,Country,Canada
Vancouver, British Columbia,Canada,Country,Canada
Victoria, British Columbia,Canada,Country,Canada
Windsor, Ontario,Canada,Country,Canada
Winnipeg, Manitoba,Canada,Country,Canada
Abbotsford - Mission, British Columbia,Canada,Country,Canada
Kitchener - Cambridge - Waterloo, Ontario,Canada,Country,Canada
Trois-Rivières, Quebec,Canada,Country,Canada
Montréal, Quebec,Canada,Country,Canada
St. Catharines - Niagara, Ontario,Canada,Country,Canada
Ottawa - Gatineau, Ontario/Quebec,Canada,Country,Canada
Prince Edward Island,Prince Edward Island,Canada,Country,Canada
Northwest Territories,Northwest Territories,Canada,Country,Canada
Nunavut,Nunavut,Canada,Country,Canada
Yukon,Yukon,Canada,Country,Canada
Alberta,Alberta,Canada,Country,Canada
Québec, Quebec,Canada,Country,Canada
Abbotsford-Mission, British Columbia,Canada,Province, British Columbia
Barrie, Ontario,Canada,Province, Ontario
Belleville, Ontario,Canada,Province, Ontario
Brantford, Ontario,Canada,Province, Ontario
