"","Year","Month","GEO","Value","Type"
"1",2001," Apr","Southern Ontario"," $94.59","Average Daily Rate"
"2",2001," Apr","Kitchener Waterloo Cambridge Guelph"," $93.49","Average Daily Rate"
"3",2001," Apr","Hamilton Brantford"," $88.4","Average Daily Rate"
"4",2001," Apr","North Eastern Ontario"," $78.93","Average Daily Rate"
"5",2001," Apr","North Bay"," $84.38","Average Daily Rate"
"6",2001," Apr","Sudbury"," $81.3","Average Daily Rate"
"7",2001," Apr","North Central Ontario"," $0","Average Daily Rate"
"8",2001," Apr","Sault Ste Marie"," $75.94","Average Daily Rate"
"9",2001," Apr","North Western Ontario"," $81.81","Average Daily Rate"
"10",2001," Apr","Thunder Bay"," ","Average Daily Rate"
"11",2001," Apr","Greater Toronto Area"," $129.91","Average Daily Rate"
"12",2001," Apr","Downtown Toronto"," $158.31","Average Daily Rate"
"13",2001," Apr","Toronto Airport"," $117.52","Average Daily Rate"
"14",2001," Apr","GTA West"," $101.78","Average Daily Rate"
"15",2001," Apr","GTA East North"," $107.2","Average Daily Rate"
"16",2001," Apr","London"," $94.37","Average Daily Rate"
"17",2001," Apr","Windsor"," $104.72","Average Daily Rate"
"18",2001," Apr","Niagara Falls"," $100.94","Average Daily Rate"
"19",2001," Apr","Other Niagara Region"," $75.11","Average Daily Rate"
"20",2001," Apr","Other Southern Ontario"," $82.46","Average Daily Rate"
"21",2001," Apr","Eastern Ontario"," $79.61","Average Daily Rate"
"22",2001," Apr","Kingston"," $81.56","Average Daily Rate"
"23",2001," Apr","Other Eastern Ontario"," $78.3","Average Daily Rate"
"24",2001," Apr","Ottawa"," $126.72","Average Daily Rate"
"25",2001," Apr","Downtown Ottawa"," $133","Average Daily Rate"
"26",2001," Apr","Ottawa West"," $112.02","Average Daily Rate"
"27",2001," Apr","Ottawa East"," $94.24","Average Daily Rate"
"28",2001," Apr","Greater Vancouver"," $103.88","Average Daily Rate"
"29",2001," Apr","Central Ontario"," $87","Average Daily Rate"
"30",2001," Apr","Downtown Vancouver"," $122.39","Average Daily Rate"
"31",2001," Apr","Vancouver Island"," $92.16","Average Daily Rate"
"32",2001," Apr","Whistler Resort Area"," $189.14","Average Daily Rate"
"33",2001," Apr","Alberta Resorts"," $127.43","Average Daily Rate"
"34",2001," Apr","Calgary"," $103.33","Average Daily Rate"
"35",2001," Apr","Edmonton"," $89.28","Average Daily Rate"
"36",2001," Apr","Regina"," $76.88","Average Daily Rate"
"37",2001," Apr","Winnipeg"," $96.66","Average Daily Rate"
"38",2001," Apr","Greater Montreal"," $118.64","Average Daily Rate"
"39",2001," Apr","Downtown Montreal"," $126.47","Average Daily Rate"
"40",2001," Apr","Montreal Airport Laval"," $98.1","Average Daily Rate"
"41",2001," Apr","Greater Quebec City"," $139.43","Average Daily Rate"
"42",2001," Apr","Moncton"," $82.31","Average Daily Rate"
"43",2001," Apr","Halifax Dartmouth"," $98.83","Average Daily Rate"
"44",2001," Apr","St Johns"," $96.42","Average Daily Rate"
"45",2001," Apr","Canada"," $106.54","Average Daily Rate"
"46",2001," Apr","British Columbia"," $104.88","Average Daily Rate"
"47",2001," Apr","Manitoba"," $94.84","Average Daily Rate"
"48",2001," Apr","New Brunswick"," $80.07","Average Daily Rate"
"49",2001," Apr","Nova Scotia"," $91.98","Average Daily Rate"
"50",2001," Apr","Ontario"," $115.37","Average Daily Rate"
"51",2001," Apr","Quebec"," $115.53","Average Daily Rate"
"52",2001," Apr","Saskatchewan"," $77.3","Average Daily Rate"
"53",2001," Apr","Newfoundland"," $89.52","Average Daily Rate"
"54",2001," Apr","Southern Ontario"," 53.3%","Hotel Occupancy Rate"
"55",2001," Apr","Kitchener Waterloo Cambridge Guelph"," 61.3%","Hotel Occupancy Rate"
"56",2001," Apr","Hamilton Brantford"," 57.1%","Hotel Occupancy Rate"
"57",2001," Apr","North Eastern Ontario"," 57.7%","Hotel Occupancy Rate"
"58",2001," Apr","North Bay"," 54.9%","Hotel Occupancy Rate"
"59",2001," Apr","Sudbury"," 62.6%","Hotel Occupancy Rate"
"60",2001," Apr","North Central Ontario"," 0%","Hotel Occupancy Rate"
"61",2001," Apr","Sault Ste Marie"," 44%","Hotel Occupancy Rate"
"62",2001," Apr","North Western Ontario"," 62.3%","Hotel Occupancy Rate"
"63",2001," Apr","Thunder Bay"," ","Hotel Occupancy Rate"
"64",2001," Apr","Greater Toronto Area"," 68.7%","Hotel Occupancy Rate"
"65",2001," Apr","Downtown Toronto"," 71.8%","Hotel Occupancy Rate"
"66",2001," Apr","Toronto Airport"," 70.8%","Hotel Occupancy Rate"
"67",2001," Apr","GTA West"," 67%","Hotel Occupancy Rate"
"68",2001," Apr","GTA East North"," 62.9%","Hotel Occupancy Rate"
"69",2001," Apr","London"," 57.7%","Hotel Occupancy Rate"
"70",2001," Apr","Windsor"," 58.5%","Hotel Occupancy Rate"
"71",2001," Apr","Niagara Falls"," 48.7%","Hotel Occupancy Rate"
"72",2001," Apr","Other Niagara Region"," 48.6%","Hotel Occupancy Rate"
"73",2001," Apr","Other Southern Ontario"," 47.1%","Hotel Occupancy Rate"
"74",2001," Apr","Eastern Ontario"," 49.3%","Hotel Occupancy Rate"
"75",2001," Apr","Kingston"," 56.2%","Hotel Occupancy Rate"
"76",2001," Apr","Other Eastern Ontario"," 45.5%","Hotel Occupancy Rate"
"77",2001," Apr","Ottawa"," 63.8%","Hotel Occupancy Rate"
"78",2001," Apr","Downtown Ottawa"," 65%","Hotel Occupancy Rate"
"79",2001," Apr","Ottawa West"," 61.2%","Hotel Occupancy Rate"
"80",2001," Apr","Ottawa East"," 58.1%","Hotel Occupancy Rate"
"81",2001," Apr","Greater Vancouver"," 62.9%","Hotel Occupancy Rate"
"82",2001," Apr","Central Ontario"," 44%","Hotel Occupancy Rate"
"83",2001," Apr","Downtown Vancouver"," 64.9%","Hotel Occupancy Rate"
"84",2001," Apr","Vancouver Island"," 62.6%","Hotel Occupancy Rate"
"85",2001," Apr","Whistler Resort Area"," 68.5%","Hotel Occupancy Rate"
"86",2001," Apr","Alberta Resorts"," 55.6%","Hotel Occupancy Rate"
"87",2001," Apr","Calgary"," 62.5%","Hotel Occupancy Rate"
"88",2001," Apr","Edmonton"," 67.8%","Hotel Occupancy Rate"
"89",2001," Apr","Regina"," 63.3%","Hotel Occupancy Rate"
"90",2001," Apr","Winnipeg"," 55.1%","Hotel Occupancy Rate"
"91",2001," Apr","Greater Montreal"," 61%","Hotel Occupancy Rate"
"92",2001," Apr","Downtown Montreal"," 58.1%","Hotel Occupancy Rate"
"93",2001," Apr","Montreal Airport Laval"," 71.2%","Hotel Occupancy Rate"
"94",2001," Apr","Greater Quebec City"," 65.2%","Hotel Occupancy Rate"
"95",2001," Apr","Moncton"," 56.3%","Hotel Occupancy Rate"
"96",2001," Apr","Halifax Dartmouth"," 67.8%","Hotel Occupancy Rate"
"97",2001," Apr","St Johns"," 63.4%","Hotel Occupancy Rate"
"98",2001," Apr","Canada"," 60.1%","Hotel Occupancy Rate"
"99",2001," Apr","British Columbia"," 60.1%","Hotel Occupancy Rate"
"100",2001," Apr","Manitoba"," 55%","Hotel Occupancy Rate"
"101",2001," Apr","New Brunswick"," 52.3%","Hotel Occupancy Rate"
"102",2001," Apr","Nova Scotia"," 61.5%","Hotel Occupancy Rate"
"103",2001," Apr","Ontario"," 61.4%","Hotel Occupancy Rate"
"104",2001," Apr","Quebec"," 58%","Hotel Occupancy Rate"
"105",2001," Apr","Saskatchewan"," 58.6%","Hotel Occupancy Rate"
"106",2001," Apr","Newfoundland"," 55.6%","Hotel Occupancy Rate"
"107",2001," Apr","Southern Ontario"," $50.37","Revenue per Available Room"
"108",2001," Apr","Kitchener Waterloo Cambridge Guelph"," $57.28","Revenue per Available Room"
"109",2001," Apr","Hamilton Brantford"," $50.45","Revenue per Available Room"
"110",2001," Apr","North Eastern Ontario"," $45.54","Revenue per Available Room"
"111",2001," Apr","North Bay"," $46.3","Revenue per Available Room"
"112",2001," Apr","Sudbury"," $50.9","Revenue per Available Room"
"113",2001," Apr","North Central Ontario"," $0","Revenue per Available Room"
"114",2001," Apr","Sault Ste Marie"," $33.38","Revenue per Available Room"
"115",2001," Apr","North Western Ontario"," $50.95","Revenue per Available Room"
"116",2001," Apr","Thunder Bay"," ","Revenue per Available Room"
"117",2001," Apr","Greater Toronto Area"," $89.2","Revenue per Available Room"
"118",2001," Apr","Downtown Toronto"," $113.63","Revenue per Available Room"
"119",2001," Apr","Toronto Airport"," $83.19","Revenue per Available Room"
"120",2001," Apr","GTA West"," $68.14","Revenue per Available Room"
"121",2001," Apr","GTA East North"," $67.45","Revenue per Available Room"
"122",2001," Apr","London"," $54.49","Revenue per Available Room"
"123",2001," Apr","Windsor"," $61.25","Revenue per Available Room"
"124",2001," Apr","Niagara Falls"," $49.19","Revenue per Available Room"
"125",2001," Apr","Other Niagara Region"," $36.52","Revenue per Available Room"
"126",2001," Apr","Other Southern Ontario"," $38.86","Revenue per Available Room"
"127",2001," Apr","Eastern Ontario"," $39.23","Revenue per Available Room"
"128",2001," Apr","Kingston"," $45.85","Revenue per Available Room"
"129",2001," Apr","Other Eastern Ontario"," $35.64","Revenue per Available Room"
"130",2001," Apr","Ottawa"," $80.82","Revenue per Available Room"
"131",2001," Apr","Downtown Ottawa"," $86.43","Revenue per Available Room"
"132",2001," Apr","Ottawa West"," $68.52","Revenue per Available Room"
"133",2001," Apr","Ottawa East"," $54.79","Revenue per Available Room"
"134",2001," Apr","Greater Vancouver"," $65.28","Revenue per Available Room"
"135",2001," Apr","Central Ontario"," $38.29","Revenue per Available Room"
"136",2001," Apr","Downtown Vancouver"," $79.37","Revenue per Available Room"
"137",2001," Apr","Vancouver Island"," $57.66","Revenue per Available Room"
"138",2001," Apr","Whistler Resort Area"," $129.5","Revenue per Available Room"
"139",2001," Apr","Alberta Resorts"," $70.82","Revenue per Available Room"
"140",2001," Apr","Calgary"," $64.54","Revenue per Available Room"
