,Industry,Industry_ID
1,All industries,10
2,"Agriculture, forestry",11
3,"Mining, oil and gas",21
4,Utilities,22
5,Construction,23
6,Manufacturing,31
7,Wholesale trade,41
8,Retail trade,44
9,Transportation,48
10,"Information, culture",51
11,"Finance, insurance",52
12,Real estate,53
13,Professional services,54
14,Management of companies,55
15,Administrative services,56
16,Education,61
17,"Health care, social assistance",62
18,"Arts, entertainment, recreation",71
19,"Accommodation, food services",72
20,Other services,81
21,Public administration,91
