Hotel Industry Statistics for Revenue per Available Room
Year, Canada, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland, 
2001, $68.0483333333333, $68.905, $53.7316666666667, $44.155, $61.6033333333333, $72.0383333333333, $76.2083333333333, $45.9116666666667, $57.2833333333333, 
2002, $66.8916666666667, $67.95, $55.23, $46.2683333333333, $62.26, $69.51, $78.4566666666667, $47.26, $57.8866666666667, 
2003, $61.185, $62.95, $50.9433333333333, $47.0383333333333, $63.805, $58.66, $75.7283333333333, $48.4516666666667, $57.82, 
2004, $65.96, $68.2216666666667, $53.875, $49.1033333333333, $62.765, $65.7066666666667, $76.1966666666667, $51.2033333333333, $60.68, 
2005, $68.4833333333333, $68.3666666666667, $53.05, $50.7166666666667, $64.2783333333333, $69.1216666666667, $77.855, $55.3516666666667, $66.045, 
2006, $74.8466666666667, $78.2066666666667, $57.52, $54.33, $65.82, $74.145, $82.34, $62.1966666666667, $59.1083333333333, 
2007, $77.11, $80.7266666666667, $63.26, $56.8716666666667, $67.4566666666667, $73.07, $79.0116666666667, $69.2716666666667, $63.89, 
2008, $79.765, $85.6416666666667, $69.2416666666667, $60.695, $70.78, $74.875, $79.6783333333333, $76.275, $70.1666666666667, 
2009, $69.1666666666667, $72.98, $67.5533333333333, $54.6666666666667, $62.8283333333333, $64.5716666666667, $68.535, $79.0833333333333, $72.11, 
2010, $73.485, $85.54, $72.1983333333333, $53.7583333333333, $64.4583333333333, $68.6283333333333, $75.165, $82.1516666666667, $78.1666666666667, 
2011, $72.6066666666667, $73.0266666666667, $72.8383333333333, $54.2433333333333, $65.455, $69.395, $79.8133333333333, $82.1183333333333, $78.35, 
2012, $75.2783333333333, $73.205, $72.315, $54.1566666666667, $65.9583333333333, $71.6283333333333, $80.6116666666667, $85.4633333333333, $85.73, 
2013, $77.0733333333333, $73.8866666666667, $71.6066666666667, $53.1333333333333, $63.2383333333333, $73.24, $81.3916666666667, $88.4316666666667, $89.6666666666667, 
2014, $81.5433333333333, $81.4416666666667, $69.3316666666667, $54.29, $65.8766666666667, $77.4433333333333, $86.1266666666667, $83.4083333333333, $83.9033333333333, 
2015, $84.305, $91.11, $75.2716666666667, $53.96, $66.925, $82.0716666666667, $92.0683333333333, $77.2766666666667, $85.575, 
2016, $85.2533333333333, $99.945, $75.4616666666667, $56.745, $72.645, $87.4866666666667, $95.5933333333333, $68.3083333333333, $80.205, 
2017, $91.0733333333333, $108.383333333333, $82.1583333333333, $62.1183333333333, $79.4966666666667, $95.8066666666667, $105.085, $62.4966666666667, $81.7983333333333, 
2018, $97.54, $121.265, $83.625, $64.95, $84.8033333333333, $103.453333333333, $106.866666666667, $65.61, $65.0316666666667, 
2019, $98.625, $127.74, $82.8566666666667, $65.0116666666667, $83.55, $104.148333333333, $109.328333333333, $63.9483333333333, $63.4166666666667, 
2020, $44.575, $57.7183333333333, $42.6666666666667, $28.72, $34.905, $46.3166666666667, $45.5, $35.4816666666667, $24.9966666666667, 
2021, $33.97, $49.2916666666667, $31.885, $21.9266666666667, $24.2633333333333, $33.3116666666667, $28.75, $30.6083333333333, $21.5716666666667, 
2022, $86.1866666666667, $121.553333333333, $70.8233333333333, $55.3483333333333, $75.175, $86.8533333333333, $88.1, $59.7033333333333, $58.85, 
