Year, Month, Canada, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland, 
2001, Jan,$105.65,$114.69,$91.07,$77.30,$86.88,$109.34,$112.78,$77.86,$87.46, 
2001, Feb,$107.97,$117.83,$91.84,$78.14,$88.13,$112.43,$115.02,$78.67,$88.82, 
2001, Mar,$107.22,$117.45,$91.26,$80.76,$90.11,$110.43,$113.29,$78.62,$87.96, 
2001, Apr,$106.54,$104.88,$94.84,$80.07,$91.98,$115.37,$115.53,$77.30,$89.52, 
2001, May,$113.64,$113.99,$94.27,$84.96,$104.46,$120.45,$123.89,$78.54,$97.84, 
2001, Jun,$124.40,$127.75,$93.65,$91.47,$113.40,$125.17,$149.71,$79.25,$101.15, 
2001, Jul,$126.50,$136.62,$89.56,$98.05,$112.50,$123.52,$137.95,$76.12,$97.58, 
2001, Aug,$126.78,$135.94,$86.75,$97.16,$111.56,$125.03,$137.12,$78.30,$95.40, 
2001, Sep,$117.31,$119.60,$90.31,$89.97,$114.02,$120.34,$130.75,$77.09,$97.65, 
2001, Oct,$109.88,$100.31,$88.83,$83.86,$109.48,$119.77,$125.36,$77.99,$92.84, 
2001, Nov,$102.07,$93.25,$89.09,$82.34,$94.93,$111.08,$115.14,$80.53,$91.96, 
2001, Dec,$104.30,$111.13,$82.33,$76.13,$86,$106.91,$116.63,$78.76,$89.03, 
2002, Jan,$105.60,$112.69,$87.64,$79.94,$86.04,$108.62,$117.20,$81.23,$92.07, 
2002, Feb,$108.65,$119.08,$90.80,$81.74,$88.46,$110.73,$120.92,$80.90,$91.94, 
2002, Mar,$108.29,$120.90,$90.05,$80.07,$91.98,$115.37,$115.53,$81.91,$89.52, 
2002, Apr,$107.39,$105.64,$94.19,$82.80,$94.12,$115.58,$116.92,$80.02,$97.37, 
2002, May,$113.78,$115.24,$94.09,$87.31,$109.20,$118.15,$130.86,$81.34,$103.72, 
2002, Jun,$126.46,$131.46,$94.54,$95.05,$115.63,$124.61,$157.97,$84.48,$108.30, 
2002, Jul,$127.94,$137.23,$91.15,$103.90,$115.59,$125.46,$143.06,$79.17,$104.83, 
2002, Aug,$127.20,$138.12,$89.95,$105.06,$119.57,$123.81,$144.68,$82.12,$104.57, 
2002, Sep,$121.92,$123.47,$90.62,$94.60,$118.13,$124.46,$136.76,$83.39,$105.44, 
2002, Oct,$112.87,$102.85,$89.11,$86.71,$110.30,$120.23,$133.36,$82.69,$102.37, 
2002, Nov,$105.34,$94.30,$88.79,$83.99,$96.21,$114.59,$116.24,$86.25,$95.98, 
2002, Dec,$107.32,$117.45,$85.52,$76.80,$90.63,$107.49,$120.85,$79.71,$90.62, 
2003, Jan,$107.68,$114.90,$83.84,$82.53,$92.61,$110.04,$120.18,$85.01,$92.13, 
2003, Feb,$110.04,$118.82,$84.62,$84.24,$93.66,$110.82,$124.66,$84.88,$95.47, 
2003, Mar,$108.20,$112.08,$85.99,$88.25,$98.49,$111.02,$119.43,$84.25,$93.58, 
2003, Apr,$104.01,$102.16,$88.66,$87.72,$98.21,$108.08,$117.66,$82.67,$94.03, 
2003, May,$108.90,$111.63,$90.85,$90.52,$113.64,$107.82,$127.33,$83.31,$107.44, 
2003, Jun,$119.23,$119.27,$92.06,$98.57,$120.52,$111.63,$158.51,$85.99,$112.29, 
2003, Jul,$120.29,$128.41,$87.99,$104.73,$119.43,$112.11,$136.48,$83.02,$105.45, 
2003, Aug,$121.42,$131.04,$87.32,$106.22,$123.14,$115.11,$136.95,$84.33,$106.37, 
2003, Sep,$119.25,$120.05,$89.33,$98.55,$121.10,$118.52,$140.04,$84.93,$111.82, 
2003, Oct,$111.57,$101.09,$89.30,$91.54,$114.99,$116.13,$135.83,$85.93,$107.98, 
2003, Nov,$104.96,$92.12,$88,$88.08,$100.94,$112.28,$119.62,$96.64,$98.21, 
2003, Dec,$106.99,$113.01,$84.52,$79.78,$92.83,$107.79,$119.35,$83.15,$94.66, 
2004, Jan,$107.18,$112.35,$85.45,$86.13,$93.71,$109.13,$118.98,$87.41,$95.41, 
2004, Feb,$109.67,$115.35,$86.70,$86.36,$95.59,$111.53,$122.21,$87.50,$99.24, 
2004, Mar,$108.11,$111.07,$87.66,$88.45,$97.84,$110,$120.72,$91.58,$96.33, 
2004, Apr,$108.52,$106.07,$89.87,$88.65,$101.21,$114.58,$118.90,$86.77,$97.19, 
2004, May,$115.12,$114.89,$93.66,$95.02,$112.40,$117.49,$131.19,$88.60,$106.28, 
2004, Jun,$123.10,$124.06,$93.07,$99.99,$119.13,$118.77,$153.71,$89.66,$117.37, 
2004, Jul,$127.29,$133.04,$90.72,$107.08,$126.39,$123.11,$139.55,$84.51,$108.29, 
2004, Aug,$126.71,$134.06,$89.59,$107.99,$125.02,$124.07,$140.09,$85.27,$107.58, 
2004, Sep,$123.95,$123.47,$89.78,$101.10,$124.81,$125.57,$141.15,$87.52,$112.19, 
2004, Oct,$114.37,$101.94,$91.01,$93.67,$115.83,$121.38,$135.74,$86.70,$106.08, 
2004, Nov,$108.64,$94.76,$91.21,$89.96,$101.19,$118.64,$121.75,$90.50,$99.81, 
2004, Dec,$110.59,$116.90,$85.79,$83.97,$96.09,$110.68,$121.60,$84.90,$94.06, 
2005, Jan,$107.69,$107.21,$87.05,$88.61,$96.13,$112.13,$119.68,$88.92,$97.89, 
2005, Feb,$110.60,$108.34,$88.13,$90.11,$99.80,$115.70,$123.89,$88.89,$104.62, 
2005, Mar,$108.59,$106.42,$89.10,$91.93,$99.57,$112.81,$120.01,$89.59,$102.13, 
2005, Apr,$110.76,$103.27,$92.85,$92.23,$105.52,$117.95,$124.81,$89.50,$104.13, 
2005, May,$116.20,$115.52,$91.77,$99.37,$118.10,$119.07,$128.89,$93.44,$116.26, 
2005, Jun,$127.15,$126.16,$93.49,$103.65,$122.08,$125.17,$157.73,$91.57,$127.15, 
2005, Jul,$130.90,$135.78,$89.83,$108.55,$124.87,$129.13,$142.66,$88.36,$114.69, 
2005, Aug,$128.80,$138.94,$89.94,$108.68,$123.18,$125.69,$139.60,$92.66,$113.54, 
2005, Sep,$127.93,$129.28,$93.70,$105.53,$126.70,$129.74,$142.94,$91.18,$115.68, 
2005, Oct,$117.63,$106.85,$94.90,$97.48,$119.80,$123.66,$137.50,$91.07,$109.89, 
2005, Nov,$111.83,$103.54,$91.86,$92.74,$102.68,$119.45,$124.01,$92.53,$103.90, 
2005, Dec,$112.15,$114.32,$90.18,$86.94,$104.67,$113.11,$123.40,$88.08,$99.56, 
2006, Jan,$111.71,$106.35,$90.60,$91.78,$98.63,$115.75,$119.41,$93.12,$103.19, 
2006, Feb,$116.08,$106.91,$94.08,$94.36,$101.33,$121.44,$127.89,$94.48,$101.89, 
2006, Mar,$114.26,$109.72,$94.51,$96.80,$102.28,$117.80,$122.35,$98.32,$103, 
2006, Apr,$114.70,$110.88,$93.95,$95.65,$108.96,$121.10,$123.71,$93.53,$101.75, 
