"","Year","Month","GEO","Value"
"1",2001," Jan","Alberta.Resorts"," 49.2%"
"2",2001," Feb","Alberta.Resorts"," 58.6%"
"3",2001," Mar","Alberta.Resorts"," 65.8%"
"4",2001," Apr","Alberta.Resorts"," 55.6%"
"5",2001," May","Alberta.Resorts"," 61.7%"
"6",2001," Jun","Alberta.Resorts"," 74.7%"
"7",2001," Jul","Alberta.Resorts"," 88.5%"
"8",2001," Aug","Alberta.Resorts"," 89.4%"
"9",2001," Sep","Alberta.Resorts"," 65.3%"
"10",2001," Oct","Alberta.Resorts"," 52.1%"
"11",2001," Nov","Alberta.Resorts"," 38.6%"
"12",2001," Dec","Alberta.Resorts"," 46.3%"
"13",2001," Jan","Calgary"," 49.7%"
"14",2001," Feb","Calgary"," 58.7%"
"15",2001," Mar","Calgary"," 64.6%"
"16",2001," Apr","Calgary"," 62.5%"
"17",2001," May","Calgary"," 68%"
"18",2001," Jun","Calgary"," 73.9%"
"19",2001," Jul","Calgary"," 81.9%"
"20",2001," Aug","Calgary"," 74.7%"
"21",2001," Sep","Calgary"," 71%"
"22",2001," Oct","Calgary"," 61.2%"
"23",2001," Nov","Calgary"," 55.6%"
"24",2001," Dec","Calgary"," 43%"
"25",2001," Jan","Central.Ontario"," 48.6%"
"26",2001," Feb","Central.Ontario"," 52.4%"
"27",2001," Mar","Central.Ontario"," 50.7%"
"28",2001," Apr","Central.Ontario"," 44%"
"29",2001," May","Central.Ontario"," 52.9%"
"30",2001," Jun","Central.Ontario"," 67.4%"
"31",2001," Jul","Central.Ontario"," 76.7%"
"32",2001," Aug","Central.Ontario"," 84.5%"
"33",2001," Sep","Central.Ontario"," 67.5%"
"34",2001," Oct","Central.Ontario"," 59.4%"
"35",2001," Nov","Central.Ontario"," 42.5%"
"36",2001," Dec","Central.Ontario"," 36.3%"
"37",2001," Jan","Downtown..Montreal"," 49%"
"38",2001," Feb","Downtown..Montreal"," 57.8%"
"39",2001," Mar","Downtown..Montreal"," 62%"
"40",2001," Apr","Downtown..Montreal"," 58.1%"
"41",2001," May","Downtown..Montreal"," 72.8%"
"42",2001," Jun","Downtown..Montreal"," 82.1%"
"43",2001," Jul","Downtown..Montreal"," 80.3%"
"44",2001," Aug","Downtown..Montreal"," 87.2%"
"45",2001," Sep","Downtown..Montreal"," 70.3%"
"46",2001," Oct","Downtown..Montreal"," 69.8%"
"47",2001," Nov","Downtown..Montreal"," 64.5%"
"48",2001," Dec","Downtown..Montreal"," 44.9%"
"49",2001," Jan","Downtown.Ottawa"," 57.5%"
"50",2001," Feb","Downtown.Ottawa"," 79.4%"
"51",2001," Mar","Downtown.Ottawa"," 72.3%"
"52",2001," Apr","Downtown.Ottawa"," 65%"
"53",2001," May","Downtown.Ottawa"," 75.9%"
"54",2001," Jun","Downtown.Ottawa"," 76.7%"
"55",2001," Jul","Downtown.Ottawa"," 68.3%"
"56",2001," Aug","Downtown.Ottawa"," 71.2%"
"57",2001," Sep","Downtown.Ottawa"," 71.7%"
"58",2001," Oct","Downtown.Ottawa"," 78.2%"
"59",2001," Nov","Downtown.Ottawa"," 70.8%"
"60",2001," Dec","Downtown.Ottawa"," 46.7%"
"61",2001," Jan","Downtown.Toronto"," 49.1%"
"62",2001," Feb","Downtown.Toronto"," 60.8%"
"63",2001," Mar","Downtown.Toronto"," 65.2%"
"64",2001," Apr","Downtown.Toronto"," 71.8%"
"65",2001," May","Downtown.Toronto"," 74.3%"
"66",2001," Jun","Downtown.Toronto"," 83.7%"
