Year, Canada, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland, 
2001,$68.05,$68.91,$53.73,$44.16,$61.60,$72.04,$76.21,$45.91,$57.28, 
2002,$66.89,$67.95,$55.23,$46.27,$62.26,$69.51,$78.46,$47.26,$57.89, 
2003,$61.19,$62.95,$50.94,$47.04,$63.81,$58.66,$75.73,$48.45,$57.82, 
2004,$65.96,$68.22,$53.88,$49.10,$62.77,$65.71,$76.20,$51.20,$60.68, 
2005,$68.48,$68.37,$53.05,$50.72,$64.28,$69.12,$77.86,$55.35,$66.05, 
2006,$74.85,$78.21,$57.52,$54.33,$65.82,$74.15,$82.34,$62.20,$59.11, 
2007,$77.11,$80.73,$63.26,$56.87,$67.46,$73.07,$79.01,$69.27,$63.89, 
2008,$79.77,$85.64,$69.24,$60.70,$70.78,$74.88,$79.68,$76.28,$70.17, 
2009,$69.17,$72.98,$67.55,$54.67,$62.83,$64.57,$68.54,$79.08,$72.11, 
2010,$73.49,$85.54,$72.20,$53.76,$64.46,$68.63,$75.17,$82.15,$78.17, 
2011,$72.61,$73.03,$72.84,$54.24,$65.46,$69.40,$79.81,$82.12,$78.35, 
2012,$75.28,$73.21,$72.32,$54.16,$65.96,$71.63,$80.61,$85.46,$85.73, 
2013,$77.07,$73.89,$71.61,$53.13,$63.24,$73.24,$81.39,$88.43,$89.67, 
2014,$81.54,$81.44,$69.33,$54.29,$65.88,$77.44,$86.13,$83.41,$83.90, 
2015,$84.31,$91.11,$75.27,$53.96,$66.93,$82.07,$92.07,$77.28,$85.58, 
2016,$85.25,$99.95,$75.46,$56.75,$72.65,$87.49,$95.59,$68.31,$80.21, 
2017,$91.07,$108.38,$82.16,$62.12,$79.50,$95.81,$105.09,$62.50,$81.80, 
2018,$97.54,$121.27,$83.63,$64.95,$84.80,$103.45,$106.87,$65.61,$65.03, 
2019,$98.63,$127.74,$82.86,$65.01,$83.55,$104.15,$109.33,$63.95,$63.42, 
2020,$44.58,$57.72,$42.67,$28.72,$34.91,$46.32,$45.50,$35.48,$25.00, 
2021,$33.97,$49.29,$31.89,$21.93,$24.26,$33.31,$28.75,$30.61,$21.57, 
2022,$86.19,$121.55,$70.82,$55.35,$75.18,$86.85,$88.10,$59.70,$58.85, 
