"","Year","Month","GEO","Value"
"1",2001," Jan","Alberta.Resorts"," $68.02"
"2",2001," Feb","Alberta.Resorts"," $85.04"
"3",2001," Mar","Alberta.Resorts"," $93.27"
"4",2001," Apr","Alberta.Resorts"," $70.82"
"5",2001," May","Alberta.Resorts"," $104.43"
"6",2001," Jun","Alberta.Resorts"," $187.94"
"7",2001," Jul","Alberta.Resorts"," $249.39"
"8",2001," Aug","Alberta.Resorts"," $252.11"
"9",2001," Sep","Alberta.Resorts"," $153.58"
"10",2001," Oct","Alberta.Resorts"," $79.33"
"11",2001," Nov","Alberta.Resorts"," $44.08"
"12",2001," Dec","Alberta.Resorts"," $74.1"
"13",2001," Jan","Calgary"," $50.82"
"14",2001," Feb","Calgary"," $58.42"
"15",2001," Mar","Calgary"," $65.75"
"16",2001," Apr","Calgary"," $64.54"
"17",2001," May","Calgary"," $72.27"
"18",2001," Jun","Calgary"," $81.68"
"19",2001," Jul","Calgary"," $101.23"
"20",2001," Aug","Calgary"," $77.94"
"21",2001," Sep","Calgary"," $76.16"
"22",2001," Oct","Calgary"," $63.25"
"23",2001," Nov","Calgary"," $56.91"
"24",2001," Dec","Calgary"," $41.25"
"25",2001," Jan","Central.Ontario"," $53.21"
"26",2001," Feb","Central.Ontario"," $58.08"
"27",2001," Mar","Central.Ontario"," $51.93"
"28",2001," Apr","Central.Ontario"," $38.29"
"29",2001," May","Central.Ontario"," $53.78"
"30",2001," Jun","Central.Ontario"," $82.31"
"31",2001," Jul","Central.Ontario"," $103.37"
"32",2001," Aug","Central.Ontario"," $117.98"
"33",2001," Sep","Central.Ontario"," $82.97"
"34",2001," Oct","Central.Ontario"," $64.57"
"35",2001," Nov","Central.Ontario"," $38.65"
"36",2001," Dec","Central.Ontario"," $42.26"
"37",2001," Jan","Downtown..Montreal"," $62.16"
"38",2001," Feb","Downtown..Montreal"," $71.86"
"39",2001," Mar","Downtown..Montreal"," $75.6"
"40",2001," Apr","Downtown..Montreal"," $73.46"
"41",2001," May","Downtown..Montreal"," $105.28"
"42",2001," Jun","Downtown..Montreal"," $148.58"
"43",2001," Jul","Downtown..Montreal"," $122.63"
"44",2001," Aug","Downtown..Montreal"," $130.5"
"45",2001," Sep","Downtown..Montreal"," $103.29"
"46",2001," Oct","Downtown..Montreal"," $99.97"
"47",2001," Nov","Downtown..Montreal"," $85.04"
"48",2001," Dec","Downtown..Montreal"," $56.37"
"49",2001," Jan","Downtown.Ottawa"," $73.82"
"50",2001," Feb","Downtown.Ottawa"," $111.29"
"51",2001," Mar","Downtown.Ottawa"," $94.54"
"52",2001," Apr","Downtown.Ottawa"," $86.43"
