date,Airport_details,count
2022-01-01,Eight Largest Airports (note 1)_2022,69622
2021-01-01,"Eight Largest Airports (note 1)_2021
				(same weekday)",30913
2020-01-01,Eight Largest Airports (note 1)_2020(same weekday),162485
2019-01-01,"Eight Largest Airports (note 1)_2019
				(same weekday)",157173
2022-01-01,Fifteen Largest Airports (note 2)_2022,77109
2021-01-01,"Fifteen Largest Airports (note 2)_2021
				(same weekday)",33807
2020-01-01,Fifteen Largest Airports (note 2)_2020(same weekday),180131
2019-01-01,"Fifteen Largest Airports (note 2)_2019
				(same weekday)",175472
2022-01-02,Eight Largest Airports (note 1)_2022,82278
2021-01-02,"Eight Largest Airports (note 1)_2021
				(same weekday)",36788
2020-01-02,Eight Largest Airports (note 1)_2020(same weekday),167771
2019-01-02,"Eight Largest Airports (note 1)_2019
				(same weekday)",163408
2022-01-02,Fifteen Largest Airports (note 2)_2022,91703
2021-01-02,"Fifteen Largest Airports (note 2)_2021
				(same weekday)",40567
2020-01-02,Fifteen Largest Airports (note 2)_2020(same weekday),188075
2019-01-02,"Fifteen Largest Airports (note 2)_2019
				(same weekday)",182370
2022-01-03,Eight Largest Airports (note 1)_2022,79100
2021-01-03,"Eight Largest Airports (note 1)_2021
				(same weekday)",27425
2020-01-03,Eight Largest Airports (note 1)_2020(same weekday),157641
2019-01-03,"Eight Largest Airports (note 1)_2019
				(same weekday)",144461
2022-01-03,Fifteen Largest Airports (note 2)_2022,88616
2021-01-03,"Fifteen Largest Airports (note 2)_2021
				(same weekday)",31085
2020-01-03,Fifteen Largest Airports (note 2)_2020(same weekday),173503
2019-01-03,"Fifteen Largest Airports (note 2)_2019
				(same weekday)",160526
2022-01-04,Eight Largest Airports (note 1)_2022,72224
2021-01-04,"Eight Largest Airports (note 1)_2021
				(same weekday)",20049
2020-01-04,Eight Largest Airports (note 1)_2020(same weekday),139711
2019-01-04,"Eight Largest Airports (note 1)_2019
				(same weekday)",135122
2022-01-04,Fifteen Largest Airports (note 2)_2022,80036
2021-01-04,"Fifteen Largest Airports (note 2)_2021
				(same weekday)",22261
2020-01-04,Fifteen Largest Airports (note 2)_2020(same weekday),155980
2019-01-04,"Fifteen Largest Airports (note 2)_2019
				(same weekday)",150842
