Year_Month,Popularity,Term
2004-01,21,Inflation
2004-01,3,Recession
2004-01,44,Supply Chain
2004-02,22,Inflation
2004-02,6,Recession
2004-02,61,Supply Chain
2004-03,21,Inflation
2004-03,6,Recession
2004-03,59,Supply Chain
2004-04,24,Inflation
2004-04,8,Recession
2004-04,51,Supply Chain
2004-05,25,Inflation
2004-05,3,Recession
2004-05,40,Supply Chain
2004-06,16,Inflation
2004-06,0,Recession
2004-06,46,Supply Chain
2004-07,22,Inflation
2004-07,2,Recession
2004-07,46,Supply Chain
2004-08,15,Inflation
2004-08,5,Recession
2004-08,33,Supply Chain
2004-09,17,Inflation
2004-09,0,Recession
2004-09,51,Supply Chain
2004-10,19,Inflation
2004-10,6,Recession
2004-10,25,Supply Chain
2004-11,22,Inflation
2004-11,3,Recession
2004-11,54,Supply Chain
2004-12,21,Inflation
2004-12,4,Recession
2004-12,38,Supply Chain
2005-01,18,Inflation
2005-01,4,Recession
2005-01,25,Supply Chain
2005-02,17,Inflation
2005-02,4,Recession
2005-02,28,Supply Chain
2005-03,28,Inflation
2005-03,5,Recession
2005-03,35,Supply Chain
2005-04,25,Inflation
2005-04,5,Recession
2005-04,37,Supply Chain
2005-05,18,Inflation
2005-05,4,Recession
2005-05,37,Supply Chain
2005-06,16,Inflation
2005-06,7,Recession
2005-06,35,Supply Chain
2005-07,14,Inflation
2005-07,0,Recession
2005-07,16,Supply Chain
2005-08,16,Inflation
2005-08,4,Recession
2005-08,37,Supply Chain
2005-09,20,Inflation
2005-09,5,Recession
2005-09,36,Supply Chain
2005-10,23,Inflation
2005-10,4,Recession
2005-10,33,Supply Chain
2005-11,27,Inflation
2005-11,6,Recession
2005-11,49,Supply Chain
2005-12,21,Inflation
2005-12,5,Recession
2005-12,23,Supply Chain
2006-01,19,Inflation
2006-01,3,Recession
2006-01,30,Supply Chain
2006-02,20,Inflation
2006-02,3,Recession
2006-02,35,Supply Chain
2006-03,21,Inflation
2006-03,3,Recession
2006-03,45,Supply Chain
2006-04,23,Inflation
2006-04,3,Recession
2006-04,38,Supply Chain
2006-05,19,Inflation
2006-05,4,Recession
2006-05,37,Supply Chain
2006-06,18,Inflation
2006-06,4,Recession
2006-06,33,Supply Chain
2006-07,14,Inflation
2006-07,4,Recession
2006-07,25,Supply Chain
2006-08,13,Inflation
2006-08,4,Recession
2006-08,23,Supply Chain
2006-09,15,Inflation
2006-09,3,Recession
2006-09,39,Supply Chain
2006-10,18,Inflation
2006-10,6,Recession
2006-10,43,Supply Chain
2006-11,22,Inflation
2006-11,6,Recession
2006-11,43,Supply Chain
2006-12,17,Inflation
2006-12,3,Recession
2006-12,20,Supply Chain
2007-01,17,Inflation
2007-01,3,Recession
2007-01,27,Supply Chain
2007-02,21,Inflation
2007-02,5,Recession
2007-02,32,Supply Chain
2007-03,19,Inflation
2007-03,6,Recession
2007-03,25,Supply Chain
2007-04,20,Inflation
2007-04,4,Recession
2007-04,27,Supply Chain
2007-05,18,Inflation
2007-05,6,Recession
2007-05,25,Supply Chain
2007-06,18,Inflation
2007-06,3,Recession
2007-06,24,Supply Chain
2007-07,19,Inflation
2007-07,3,Recession
2007-07,30,Supply Chain
2007-08,14,Inflation
2007-08,5,Recession
2007-08,31,Supply Chain
2007-09,20,Inflation
2007-09,7,Recession
2007-09,31,Supply Chain
2007-10,19,Inflation
2007-10,8,Recession
2007-10,31,Supply Chain
2007-11,23,Inflation
2007-11,9,Recession
2007-11,34,Supply Chain
2007-12,18,Inflation
2007-12,6,Recession
2007-12,25,Supply Chain
2008-01,24,Inflation
2008-01,41,Recession
2008-01,35,Supply Chain
2008-02,23,Inflation
2008-02,17,Recession
2008-02,32,Supply Chain
2008-03,25,Inflation
2008-03,21,Recession
2008-03,28,Supply Chain
2008-04,26,Inflation
2008-04,21,Recession
2008-04,32,Supply Chain
2008-05,24,Inflation
2008-05,13,Recession
2008-05,31,Supply Chain
2008-06,22,Inflation
2008-06,10,Recession
2008-06,28,Supply Chain
2008-07,21,Inflation
2008-07,11,Recession
2008-07,31,Supply Chain
2008-08,15,Inflation
2008-08,12,Recession
2008-08,19,Supply Chain
2008-09,24,Inflation
2008-09,26,Recession
2008-09,29,Supply Chain
2008-10,23,Inflation
2008-10,64,Recession
2008-10,32,Supply Chain
2008-11,24,Inflation
2008-11,60,Recession
2008-11,39,Supply Chain
2008-12,22,Inflation
2008-12,56,Recession
2008-12,22,Supply Chain
2009-01,23,Inflation
2009-01,46,Recession
2009-01,35,Supply Chain
